"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Lair Of The Minotaur: War Metal Battle Master","Southern Lord",,"Out","2.0","4:3",13.98,"NR","UNK","Music","1.33:1","808720009194",2009-01-20 00:00:00,151051,2008-12-14 00:00:00,1
"Land, Power, And Custom: Controversies Generated By South Africa's Communal Land Rights Act (Book w/ DVD)","Ohio Univ. Cntr Intl Studies",,"Out","2.0","4:3",34.95,"NR","2009","Special Interest","1.33:1","9780821418734",2009-01-20 00:00:00,151102,2008-12-14 00:00:00,1
"Last Detective: Series 1 - 4: The Complete Collection","Acorn Media",,"Out","5.1","LBX, 16:9",99.99,"NR","VAR","TV Classics","1.85:1","054961816095",2009-01-20 00:00:00,147666,2008-10-19 00:00:00,1
"Legend Of Lyon: Flare","A.D. Vision",,"Out","SUB","4:3",29.98,"MA17","UNK","Anime","1.33:1","702727184024",2009-01-20 00:00:00,149176,2008-11-15 00:00:00,1
"Life's Decisions","Laguna Films",,"Out","2.0","LBX",19.99,"NR","2005","Drama","1.85:1","735978405327",2009-01-20 00:00:00,148534,2008-11-09 00:00:00,1
"Line (2007)","Cinevolve Studios",,"Out","2.0","LBX, 16:9",22.95,"NR","2007","Action/Adventure","1.85:1","812142010010",2009-01-20 00:00:00,145788,2008-10-31 00:00:00,1
"Little House On The Prairie (1974/ Imavision Canada): The Girls Of Little House On The Prairie, Vol. 1: Country School","Imavision Canada",,"Out","2.0","4:3",14.98,"NR","VAR","TV Classics","1.33:1","069458100021",2009-01-20 00:00:00,148460,2008-11-09 00:00:00,1
"Little House On The Prairie (1974/ Imavision Canada): The Girls Of Little House On The Prairie, Vol. 2: Prairie Friends","Imavision Canada",,"Out","2.0","4:3",14.98,"NR","VAR","TV Classics","1.33:1","069458100014",2009-01-20 00:00:00,148456,2008-11-09 00:00:00,1
"Lo Mejor Del Caballo Rojas","Laguna Films",,"Out","2.0","4:3",14.95,"NR","VAR","Foreign","1.33:1","735978429330",2009-01-20 00:00:00,148521,2008-11-07 00:00:00,1
"Los Reyes De La Risa","Laguna Films",,"Out","2.0","4:3",14.95,"NR","1961","Foreign","1.33:1","735978429347",2009-01-20 00:00:00,148514,2008-11-07 00:00:00,1
"Magical Shopping Arcade Abenobashi #1 - 4: Complete Collection","A.D. Vision",,"Out","SUB","LBX, 16:9",49.98,"NR","2002","Anime","1.85:1","702727174629",2009-01-20 00:00:00,148951,2008-11-12 00:00:00,1
"Magnificent Obsession (Special Edition)","Criterion Collection",,"Out","1.0","4:3",39.95,"NR","1954","Drama","1.33:1","715515034821",2009-01-20 00:00:00,147665,2008-10-19 00:00:00,1
"Maid's Secret: Welcome Home","A.D. Vision",,"Out","SUB","4:3",24.98,"MA17","UNK","Foreign","1.33:1","702727182525",2009-01-20 00:00:00,148946,2008-11-12 00:00:00,1
"Maigret Tend Un Piege","DEP",,"Out","2.0","4:3",64.99,"NR","1958","Foreign","1.33:1","069458202138",2009-01-20 00:00:00,152547,2009-01-03 00:00:00,1
"Mark Murphy: Element Sheet","V.I.E.W.",,"Out","2.0","4:3",19.98,"NR","UNK","Music","1.33:1","602267203691",2009-01-20 00:00:00,148110,2008-10-28 00:00:00,1
"Mating Dance","Westlake Media",,"Out","2.0","4:3",19.98,"NR","2008","Mystery/Suspense","1.33:1","798622372321",2009-01-20 00:00:00,150062,2008-11-29 00:00:00,1
"Max Payne","Fox",,"Out","5.1","LBX, 16:9",29.98,"PG-13","2008","Action/Adventure","2.35:1","024543554738",2009-01-20 00:00:00,150114,2008-11-29 00:00:00,1
"Max Payne (Blu-ray)","Fox",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.99,"PG-13","2008","Action/Adventure","2.35:1","024543554851",2009-01-20 00:00:00,150125,2008-11-29 00:00:00,1
"Max Payne (Special Edition)","Fox",,"Out","5.1","LBX, 16:9",34.98,"PG-13","2008","Action/Adventure","2.35:1","024543556305",2009-01-20 00:00:00,150418,2008-12-05 00:00:00,1
