"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"009-1 (FUNimation): The Complete Collection","FUNimation",,"Out","SUB","LBX, 16:9",49.98,"MA13","2005","Anime","1.85:1","704400097904",2009-01-20 00:00:00,149184,2008-11-15 00:00:00,1
"13 Going On 30 (Blu-ray)","Columbia/Tri-Star",,"Out","5.1","LBX, 16:9, BLU-RAY",28.95,"PG-13","2004","Comedy","1.85:1","043396286306",2009-01-20 00:00:00,149083,2008-11-15 00:00:00,1
"18 Year Old Virgin","Asylum Home Entertainment",,"Out","2.0","4:3",24.95,"NR","2009","Comedy","1.33:1","686340221642",2009-01-20 00:00:00,149715,2008-11-22 00:00:00,1
"30 Minutes To Fitness: Weights Workout With Kelly Coffey-Meyer","BayView Films",,"Out","2.0","4:3",19.99,"NR","2009","Exercise","1.33:1","874482008324",2009-01-20 00:00:00,149064,2008-11-14 00:00:00,1
"Air Marshall","First Look",2009-04-07 00:00:00,"Pending","2.0","4:3",9.98,"NR","UNK","Action/Adventure","1.33:1","687797320193",2009-04-07 00:00:00,153345,2009-01-20 00:00:00,0
"AmericanEast [American East]","MGM/UA",,"Out","5.1","LBX, 16:9",26.98,"R","2007","Drama","1.85:1","883904122869",2009-01-20 00:00:00,148518,2008-11-07 00:00:00,1
"Amusement","New Line",,"Out","5.1","LBX, 16:9",27.95,"R","2008","Horror","2.35:1","794043123276",2009-01-20 00:00:00,149657,2008-11-22 00:00:00,1
"Amusement (Blu-ray)","New Line",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",35.99,"R","2008","Horror","2.35:1","794043124068",2009-01-20 00:00:00,149665,2008-11-22 00:00:00,1
"Amy Winehouse: Revving @ 4500 RPM's & Justified: Unauthorized","Azure",,"Out","2.0","4:3",14.95,"NR","UNK","Music","1.33:1","655690301908",2009-01-20 00:00:00,149718,2008-11-22 00:00:00,1
"Angry Joe Bass","Jef Films",2009-03-31 00:00:00,"Pending","2.0","4:3",19.95,"NR","1976","Action/Adventure","1.33:1","018619722831",2009-03-31 00:00:00,153346,2009-01-20 00:00:00,0
"Animalia: Talent-O-Topia (Blu-ray)","Porchlight Entertainment",,"Out","5.1","LBX, 16:9, BLU-RAY",29.98,"NR","2008","Animation","1.78:1","810863010876",2009-01-20 00:00:00,147270,2009-01-18 00:00:00,1
"Another Man's Garden","First Run Features",,"Out","SUB","LBX",24.95,"NR","UNK","Foreign","1.85:1","720229913577",2009-01-20 00:00:00,147575,2008-10-18 00:00:00,1
"Anthony B: Live","Natural Video",,"Out","2.0","4:3",16.95,"NR","UNK","Music","1.33:1","670929111011",2009-01-20 00:00:00,149271,2008-11-16 00:00:00,1
"Anton Fig: IIn The Groove","Alfred Publishing",,"Out","2.0","4:3",19.95,"NR","UNK","Special Interest","1.33:1","038081336442",2009-01-20 00:00:00,153161,2009-01-16 00:00:00,1
"Antwone Fisher (Widescreen/ Blu-ray)","Fox",,"Out","5.1","LBX, 16:9, BLU-RAY",29.99,"PG-13","2002","Drama","2.35:1","024543565000",2009-01-20 00:00:00,147012,2008-11-04 00:00:00,1
"Ark Of The Sun God","Jef Films",2009-03-24 00:00:00,"Pending","2.0","4:3",14.95,"NR","UNK","Action/Adventure","1.33:1","052749013872",2009-03-24 00:00:00,153339,2009-01-20 00:00:00,0
"Atmosphere: God Loves Ugly (DVD/CD Combo)","Rhymesayers",,"Out","2.0","4:3",16.98,"NR","UNK","Music","1.33:1","826257003126",2009-01-20 00:00:00,150586,2008-12-07 00:00:00,1
"Azteca: La Piedra Del Sol","in-akustick",,"Out","5.1","4:3",19.95,"NR","UNK","Music","1.33:1","707787618175",2009-01-20 00:00:00,149315,2008-11-16 00:00:00,1
"Back At The Barnyard: Cowman The Uddered Avenger","Paramount",,"Out","2.0","4:3",16.99,"NR","UNK","Animation","1.33:1","097368933644",2009-01-20 00:00:00,147801,2008-10-23 00:00:00,1
"Back At The Barnyard: Cowman The Uddered Avenger (Checkpoint)","Paramount",,"Out","2.0","4:3",16.99,"NR","UNK","Animation","1.33:1","097368933620",2009-01-20 00:00:00,147793,2008-10-23 00:00:00,1
"Barack Obama: A&E Biography (Inaugural Edition)","A&E Video",,"Out","2.0","4:3",12.95,"NR","UNK","Documentary","1.33:1","733961153293",2009-01-20 00:00:00,151626,2008-12-21 00:00:00,1
"Beat! Beat! Beat!: Eric Burdon & The New Animals, Episode 6","ABC Records UK",,"Out","2.0","4:3",9.95,"NR","1966","Music","1.33:1","604388708208",2009-01-20 00:00:00,149246,2008-11-16 00:00:00,1
"Beat! Beat! Beat!: The Best Of Beat! Beat! Beat!, Vol. 3: The Move / The Searchers / The Smoke / The Tremeloes","ABC Records UK",,"Out","2.0","4:3",12.95,"NR","VAR","Music","1.33:1","604388708703",2009-01-20 00:00:00,149267,2008-11-16 00:00:00,1
"Beat! Beat! Beat!: The Kinks","ABC Records UK",,"Out","2.0","4:3",9.95,"NR","1966","Music","1.33:1","604388708604",2009-01-20 00:00:00,149297,2008-11-16 00:00:00,1
"Beat! Beat! Beat!: The Small Faces","ABC Records UK",,"Out","2.0","4:3",9.95,"NR","1966","Music","1.33:1","604388708802",2009-01-20 00:00:00,149248,2008-11-16 00:00:00,1
"Beat! Beat! Beat!: The Spencer Davis Group","ABC Records UK",,"Out","2.0","4:3",9.95,"NR","1966","Music","1.33:1","604388708901",2009-01-20 00:00:00,149276,2008-11-16 00:00:00,1
"Beat! Beat! Beat!: The Yardbirds","ABC Records UK",,"Out","2.0","4:3",9.95,"NR","1967","Music","1.33:1","604388709007",2009-01-20 00:00:00,149330,2008-11-16 00:00:00,1
"Before They Were Stars: Matt Sydal: Bourne Is Born","Big Vision",,"Out","2.0","4:3",9.98,"NR","2009","Special Interest","1.33:1","881737884534",2009-01-20 00:00:00,148841,2008-11-11 00:00:00,1
"Berenstain Bears (Sony Pictures): Kindness Caring & Sharing","Sony Pictures",,"Out","2.0","4:3",12.99,"NR","UNK","Family","1.33:1","043396246423",2009-01-20 00:00:00,148452,2008-11-04 00:00:00,1
"Bikini Royale","Retromedia",,"Out","2.0","4:3",14.98,"NR","2008","Comedy","1.33:1","617742205596",2009-01-20 00:00:00,147857,2008-10-24 00:00:00,1
"Bleach #14: The Rescue","Viz Entertainment",,"Out","SUB","4:3",24.98,"MA13","2005","Anime","1.33:1","782009239147",2009-01-20 00:00:00,148431,2008-11-04 00:00:00,1
"Boogeyman 3","Sony Pictures",,"Out","2.0","LBX, 16:9",24.96,"NR","2008","Horror","1.85:1","043396274471",2009-01-20 00:00:00,148616,2008-11-08 00:00:00,1
"Brian Auger: Hammond B3 Master","Alfred Publishing",,"Out","2.0","4:3",29.95,"NR","UNK","Special Interest","1.33:1","038081324111",2009-01-20 00:00:00,153108,2009-01-16 00:00:00,1
"Calexico: Live From Austin, TX: Austin City Limits","New West Records",,"Out","2.0","4:3",16.98,"NR","2006","Music","1.33:1","607396805723",2009-01-20 00:00:00,151122,2008-12-14 00:00:00,1
"Center Stage: Turn It Up","Sony Pictures",,"Out","5.1","LBX, 16:9",24.96,"PG-13","2008","Drama","1.85:1","043396274518",2009-01-20 00:00:00,148571,2008-11-08 00:00:00,1
"Center Stage: Turn It Up (Blu-ray)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",39.95,"PG-13","2008","Drama","1.85:1","043396285613",2009-01-20 00:00:00,148613,2008-11-08 00:00:00,1
"Charlie & Me","Cypress",,"Out","2.0","LBX",14.95,"NR","2008","Drama","1.85:1","796019815208",2009-01-20 00:00:00,147590,2008-10-18 00:00:00,1
"Children Of A Lesser God","Paramount",,"Out","1.0","LBX, 16:9",14.99,"R","1986","Drama","1.85:1","097361398143",2009-01-20 00:00:00,147807,2008-10-23 00:00:00,1
"Children Of A Lesser God (Checkpoint)","Paramount",,"Out","1.0","LBX, 16:9",14.99,"R","1986","Drama","1.85:1","097361398129",2009-01-20 00:00:00,147808,2008-10-23 00:00:00,1
"Children Of Huang Shi","Sony Pictures",,"Out","2.0","LBX, 16:9",28.96,"R","2008","War","2.35:1","043396252967",2009-01-20 00:00:00,149126,2008-11-15 00:00:00,1
"Children Of The Stones","Acorn Media",,"Out","2.0","4:3",24.99,"NR","1977","Family","1.33:1","054961815999",2009-01-20 00:00:00,147599,2008-10-18 00:00:00,1
"Chiles Xalapenos","DistraMax",,"Out","SUB","4:3",9.98,"NR","2008","Foreign","1.33:1","876122001993",2009-01-20 00:00:00,148658,2008-11-09 00:00:00,1
"Chris Rock: Kill The Messenger","HBO",,"Out","2.0","4:3",19.97,"NR","2008","Comedy","1.33:1","883929033058",2009-01-20 00:00:00,147257,2008-10-14 00:00:00,1
"Chris Rock: Kill The Messenger (Special Edition)","HBO",,"Out","2.0","4:3",29.98,"NR","2008","Comedy","1.33:1","883929048700",2009-01-20 00:00:00,147244,2008-10-14 00:00:00,1
"City Of Ember","Fox",,"Out","2.0","LBX, 16:9",29.98,"PG","2008","Comedy","2.35:1","024543563396",2009-01-20 00:00:00,149691,2008-11-22 00:00:00,1
"Cleavage","Kitty Media",,"Out","SUB","4:3",29.99,"MA17","UNK","Anime","1.33:1","631595090062",2009-01-20 00:00:00,148319,2008-10-31 00:00:00,1
"Cold Prey","Anchor Bay",,"Out","2.0","LBX, 16:9",26.97,"NR","2006","Foreign","2.35:1","013131560794",2009-01-20 00:00:00,147212,2008-10-13 00:00:00,1
"Confessions Of An Action Star","Lightyear Entertainment",,"Out","2.0","LBX, 16:9",19.99,"NR","2008","Comedy","1.85:1","883476005362",2009-01-20 00:00:00,144665,2009-01-13 00:00:00,1
"Creating Texture In Transparent Watercolor With Jean Grastorf","North Light Books",,"Out","2.0","4:3",29.99,"NR","2008","Special Interest","1.33:1","9781600616730",2009-01-26 00:00:00,147357,2008-12-28 00:00:00,1
"Criss Angel Mindfreak: The Complete Season 4","A&E Video",,"Out","2.0","4:3",34.95,"NR","2008","TV Classics","1.33:1","733961144185",2009-01-20 00:00:00,148024,2008-10-26 00:00:00,1
"Darker Than Black #2","FUNimation",,"Out","SUB","LBX, 16:9",29.98,"MA17","2007","Anime","1.85:1","704400074523",2009-01-20 00:00:00,148555,2009-01-01 00:00:00,1
"De Pasiones Y Amores (Naked Passions)","DistraMax",,"Out","2.0","4:3",5.98,"UR","2003","Late Night","1.33:1","876122001108",2009-01-20 00:00:00,148707,2008-11-09 00:00:00,1
"Deal (2008 w/ William H. Macy w/ Digital Copy)","Peace Arch Trinity",,"Out","2.0","LBX, 16:9",29.99,"R","2008","Comedy","1.85:1","625828431807",2009-01-20 00:00:00,141786,2008-11-29 00:00:00,1
"Deal (2008 w/ William H. Macy/ Blu-ray)","Peace Arch Trinity",,"Out","2.0","LBX, 16:9, BLU-RAY",34.99,"R","2008","Comedy","1.85:1","625828460401",2009-01-20 00:00:00,149776,2008-11-23 00:00:00,1
"Deal (2008 w/ William H. Macy/ Rental Ready)","Peace Arch Trinity",,"Out","2.0","LBX, 16:9",29.99,"R","2008","Comedy","1.85:1","625828453106",2009-01-20 00:00:00,149750,2008-11-29 00:00:00,1
"Domino (Widescreen/ Blu-ray)","New Line",,"Out","5.1","LBX, 16:9, BLU-RAY",28.99,"R","2005","Action/Adventure","2.35:1","794043128455",2009-01-20 00:00:00,147222,2008-10-13 00:00:00,1
"El Chavo Animado, Vol. 1","Xenon",,"Out","2.0","4:3",14.98,"NR","VAR","Foreign","1.33:1","000799479223",2009-01-20 00:00:00,148341,2009-01-09 00:00:00,1
"El Norte","Criterion Collection",,"Out","1.0","LBX, 16:9",39.95,"NR","1983","Thriller","1.78:1","715515034722",2009-01-20 00:00:00,148425,2008-11-04 00:00:00,1
"El Norte (Blu-ray)","Criterion Collection",,"Out","1.0","LBX, 16:9, BLU-RAY",39.95,"NR","1983","Thriller","1.78:1","715515035125",2009-01-20 00:00:00,148417,2008-11-04 00:00:00,1
"El Rey De La Montana (a.k.a. King Of The Hill)","Weinstein Company",,"Out","2.0","LBX, 16:9",19.97,"NR","2007","Foreign","1.85:1","796019816830",2009-01-20 00:00:00,143925,2008-10-13 00:00:00,1
"El Secreto De Romelia (Romelia's Secret)","DistraMax",,"Out","SUB","4:3",7.98,"NR","1988","Foreign","1.33:1","876122000910",2009-01-20 00:00:00,148636,2008-11-09 00:00:00,1
"Election (1999/ Blu-ray)","Paramount",,"Out","5.1","LBX, 16:9, BLU-RAY",29.99,"R","1999","Comedy","2.35:1","097361401942",2009-01-20 00:00:00,146134,2008-09-27 00:00:00,1
"Electric Company: Best Of The Electric Company, Vol. 1","Shout! Factory",,"Out","2.0","4:3",14.99,"NR","VAR","TV Classics","1.33:1","826663104660",2009-01-20 00:00:00,145122,2008-09-12 00:00:00,1
"Electric Company: Best Of The Electric Company, Vol. 2","Shout! Factory",,"Out","2.0","4:3",14.99,"NR","VAR","TV Classics","1.33:1","826663104677",2009-01-20 00:00:00,145118,2008-09-12 00:00:00,1
"Elsa & Fred","DistraMax",,"Out","SUB","4:3",19.98,"NR","2005","Foreign","1.33:1","876122001610",2009-01-20 00:00:00,148717,2008-11-22 00:00:00,1
"Elton John: The Red Piano: Live From Las Vegas (2-Disc)","Universal Music International",,"Out","2.0","4:3",27.99,"NR","UNK","Music","1.33:1","602517832497",2009-01-20 00:00:00,152538,2009-01-03 00:00:00,1
"Emergency!: Season 5","Universal",,"Out","2.0","4:3",39.98,"NR","1975","TV Classics","1.33:1","025195050098",2009-01-20 00:00:00,147926,2008-10-24 00:00:00,1
"End Of America (Director's Cut)","IndiePix",,"Out","2.0","4:3",29.95,"NR","2008","Documentary","1.33:1","845637000531",2009-01-20 00:00:00,148142,2009-01-09 00:00:00,1
"Eric Burdon: The Animals And Beyond","ABC Records UK",,"Out","2.0","4:3",18.95,"NR","UNK","Music","1.33:1","604388712205",2009-01-20 00:00:00,143469,2008-11-22 00:00:00,1
"Exorcismo (BCI Eclipse / Brentwood)","BCI Eclipse / Brentwood",,"Out","2.0","4:3",9.98,"NR","1975","Foreign","1.33:1","787364826797",2009-01-20 00:00:00,148659,2008-11-10 00:00:00,1
"Express","Universal",,"Out","5.1","LBX, 16:9",29.98,"PG","2008","Drama","2.35:1","025195024525",2009-01-20 00:00:00,149864,2008-11-26 00:00:00,1
"Express (Blu-ray)","Universal",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.98,"PG","2008","Drama","2.35:1","025195052337",2009-01-20 00:00:00,149862,2008-11-26 00:00:00,1
"Fancy: The Ultimate Fancy","ZYX Music",,"Out","2.0","4:3",21.98,"NR","UNK","Music","1.33:1","090204777365",2009-01-20 00:00:00,152440,2009-01-02 00:00:00,1
"Freddie Hubbard: One Of A Kind","V.I.E.W.",,"Out","2.0","4:3",19.98,"NR","UNK","Music","1.33:1","602267203592",2009-01-20 00:00:00,148105,2008-10-28 00:00:00,1
"Frontrunners","Oscilloscope Pictures",,"Out","2.0","LBX",29.99,"NR","2008","Documentary","1.85:1","896602002036",2009-01-20 00:00:00,148129,2008-10-28 00:00:00,1
"George Wallace","Warner Brothers",,"Out","2.0","4:3",24.98,"NR","1997","Drama","1.33:1","883929013401",2009-01-20 00:00:00,140343,2008-08-15 00:00:00,1
"Ghost (1990/ Special Collector's Edition)","Paramount",,"Out","5.1","LBX, 16:9",14.99,"PG-13","1990","Drama","1.85:1","097361397948",2009-01-20 00:00:00,147923,2008-10-24 00:00:00,1
"Ghost (1990/ Special Collector's Edition/ Checkpoint)","Paramount",,"Out","5.1","LBX, 16:9",14.99,"PG-13","1990","Drama","1.85:1","097361397924",2009-01-20 00:00:00,147853,2008-10-24 00:00:00,1
"Girlfriends With Benefits","Peach DVD",,"Out","2.0","4:3",14.99,"UR","2009","Late Night","1.33:1","825679031069",2009-01-20 00:00:00,150722,2008-12-09 00:00:00,1
"Girls Like Toys 2","Shami Production",,"Out","2.0","4:3",13.98,"UR","2009","Late Night","1.33:1","798657117737",2009-01-20 00:00:00,152329,2009-01-01 00:00:00,1
"Girls Playing With Girls 105","Shami Production",,"Out","2.0","4:3",13.98,"UR","2009","Late Night","1.33:1","798657117638",2009-01-20 00:00:00,152344,2009-01-01 00:00:00,1
"Great Polar Bear Adventure","Animal Planet",,"Out","2.0","4:3",14.95,"NR","2006","Family","1.33:1","796019816168",2009-01-20 00:00:00,147773,2008-10-21 00:00:00,1
"Greg Howe: Hot Rock Licks","Alfred Publishing",,"Out","2.0","4:3",24.95,"NR","UNK","Special Interest","1.33:1","038081336336",2009-01-20 00:00:00,153105,2009-01-16 00:00:00,1
"Happy Birthday Girls","Shami Production",,"Out","2.0","4:3",13.98,"UR","2009","Late Night","1.33:1","798657117331",2009-01-20 00:00:00,152361,2009-01-01 00:00:00,1
"Harlequin Romance: At The Midnight Hour (Echo Bridge)","Echo Bridge",,"Out","2.0","4:3",6.99,"NR","1995","Drama","1.33:1","096009705695",2009-01-20 00:00:00,149167,2008-11-16 00:00:00,1
